Title,Metascore,Userscore
Pirates of the Caribbean: At Worlds End,50,7.2
Mission: Impossible Dead Reckoning Part One,81,7.9
Rogue One: A Star Wars Story,65,7.6
Star Wars: The Rise of Skywalker,N/A,N/A
The Marvels,50,3.8
John Carter,51,7.0
Batman v Superman: Dawn of Justice,44,6.9
SpiderMan,N/A,N/A
Black Panther: Wakanda Forever,67,5.3
Captain America: Civil War,75,8.2
Thor: Love and Thunder,57,4.7
The Hobbit: The Desolation of Smaug,66,7.7
The Hobbit: The Battle of the Five Armies,59,7.0
The Fate of the Furious,56,6.9
Spectre,60,6.5
Superman Returns,72,5.5
Pirates of the Caribbean: Dead Men Tell No Tales,39,6.2
Quantum of Solace,58,6.2
Pirates of the Caribbean: Dead Mans Chest,53,7.7
Man of Steel,55,7.5
The Lone Ranger,37,6.4
Battleship,41,5.0
Transformers: The Last Knight,27,4.1
Jurassic World,59,6.8
Men in Black,72,7.8
Transformers: Revenge of the Fallen,35,4.9
Transformers: Age of Extinction,32,4.5
Robin Hood,53,6.3
Robin Hood,53,6.3
Aquaman and the Lost Kingdom,42,5.5
The Golden Compass,51,6.0
Tenet,69,7.2
Finding Dory,77,7.3
Doctor Strange in the Multiverse of Madness,60,6.0
Alice in Wonderland,53,6.2
Alice in Wonderland,53,6.2
Skyfall,81,7.6
The Hobbit: An Unexpected Journey,58,8.0
Monsters University,65,7.5
Oz the Great and Powerful,44,6.1
Cars,73,7.7
Black Widow,68,6.4
Black Adam,41,6.9
Eternals,52,6.2
Fantastic Beasts: The Crimes of Grindelwald,52,5.9
Terminator Salvation,49,6.0
Lightyear,N/A,N/A
Green Lantern,39,5.1
The Flash,55,5.5
Fantastic Beasts: The Secrets of Dumbledore,47,5.9
Prince of Persia: Sands of Time,N/A,N/A
Dark Phoenix,43,4.9
Wish,47,4.1
Napoleon,N/A,N/A
Wonder Woman,76,7.6
Argylle,35,4.6
Transformers: Dark of the Moon,42,5.8
Transformers: Rise of the Beasts,42,5.5
The Mummy,48,7.7
The Mummy,48,7.7
Jack the Giant Slayer,51,5.9
Dune: Part Two,79,8.4
Star Trek Into Darkness,72,7.6
World War Z,63,6.8
The Matrix Resurrections,63,3.9
The Good Dinosaur,66,6.5
Indiana Jones and the Kingdom of the Crystal Skull,65,5.9
Brave,69,6.9
Kong: Skull Island,62,6.7
Star Trek Beyond,68,6.6
Maleficent: Mistress of Evil,43,6.4
Terminator: Dark Fate,54,4.0
Maleficent,56,6.8
Fantastic Beasts and Where to Find Them,66,7.3
Rush Hour,61,7.7
The Legend of Tarzan,44,6.0
Hugo,83,7.5
Valerian and the City of a Thousand Planets,51,6.4
Jupiter Ascending,40,5.1
The Meg,46,5.5
Captain Marvel,64,4.0
The Jungle Book,65,7.9
The Jungle Book,65,7.9
Suicide Squad,40,5.9
Ralph Breaks The Internet,71,6.3
Monsters vs. Aliens,56,6.4
G.I. Joe: The Rise of Cobra,32,5.2
Wild Wild West,40,5.4
Evan Almighty,37,4.7
Waterworld,56,6.4
Dolittle,26,5.4
King Arthur: Legend of the Sword,41,7.1
Ronin,67,6.9
Jurassic World: Fallen Kingdom,51,5.6
Captain America: The Winter Soldier,70,8.3
Dawn of the Planet of the Apes,79,8.2
Snow White and the Huntsman,57,6.1
Van Helsing,35,6.4
Dumbo,51,5.8
Godzilla: King of the Monsters,48,7.0
Alita: Battle Angel,53,8.5
Alice Through the Looking Glass,34,5.9
Furiosa: A Mad Max Saga,79,7.2
Jurassic World: Dominion,38,4.8
Shrek Forever After,58,6.7
Independence Day: Resurgence,32,4.5
